Developmental_stage
Juvenile/adult
Juvenile/adult
Eggs/early development
Mixed
Mixed
Eggs/early development
Mixed
Juvenile/adult
Mixed
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Unknown
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult

Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Unknown
Juvenile/Adult
Juvenile/Adult
Juvenile/Adult
Juvenile/Adult
Juvenile/Adult
Juvenile/Adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult

Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult

Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Mixed
Juvenile/adult
Juvenile/adult
Juvenile/adult
Mixed
Mixed
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Mixed
Juvenile/adult
Mixed
Mixed
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Mixed
Juvenile/adult
Mixed
Juvenile/adult
Juvenile/adult
Mixed
Mixed
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult

Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult

Juvenile/adult
Juvenile/adult
Juvenile/adult
Mixed
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult
Juvenile/adult

Juvenile/adult
Juvenile/adult

Juvenile/adult
Juvenile/adult
Juvenile/adult


Juvenile/adult
Juvenile/adult
Mixed
Juvenile/adult
Juvenile/adult
Eggs/early development
Juvenile/adult
