Study_ID,title,year,journal,authors,Bird,Fish,Marine_Mammals,Other,Reason_for_Exclusion,Filename_article,Filename_suppl_files,Filename_suppl_files_2,Extracted_N_Partially_Fully,Assigned_to,Assigned_to_2,,Date_data_extraction,Extraction_time_in_min,Extraction_comments,Checked_name,Date_data_checked,Checking_comments
P_XXXX,Text,Year,Text,Names,NA / Bird,NA / Fish,NA / Marine Mammals,NA / Other,Text / NA (if included),Text,Text / NA (if suppl not present),Text / NA (if suppl not present),N (not extracted yet) / in Progress / Partially / Fully,Name,,,Date,Time in min,Text,Losia / Cat,Date,Text
P_0106,A New Fluorinated Surfactant Contaminant in Biota: Perfluorobutane Sulfonamide in Several Fish Species,2016,Environmental Science and Technology,"Chu, S. and Letcher, R.J. and McGoldrick, D.J. and Backus, S.M.",NA,Fish,NA,NA,NA,P_0106_Chu_2016,P_0106_Chu_2016_Suppl,NA,Fully,Maegan,,,3/10/2021,7,,Cat,,
P_0108,"Legacy and emerging organic contaminants in two sympatric shark species from Reunion Island (Southwest Indian Ocean): Levels, profiles and maternal transfer",2021,SCIENCE OF THE TOTAL ENVIRONMENT,"Chynel, M and Munschy, C and Bely, N and Heas-Moisan, K and Pollono, C and Jaquemet, S and Chynel, M. and Munschy, C. and Bely, N. and Heas-Moisan, K. and Pollono, C. and Jaquemet, S.",NA,Fish,NA,NA,NA,P_0108_Chynel_2021,P_0108_Chynel_2021_Suppl,NA,Fully,Maegan,,,5/10/2021,6,,Cat,,
P_0110,Molecular impacts of perfluorinated chemicals (PFASs) in the liver and testis of male largemouth bass (Micropterus salmoides) in Minnesota Lakes,2016,Comparative Biochemistry and Physiology - Part D: Genomics and Proteomics,"Collí-Dulá, R.C. and Martyniuk, C.J. and Streets, S. and Denslow, N.D. and Lehr, R.",NA,Fish,NA,NA,NA,P_0110_Colli_Dula_2016,NA,NA,Fully,Maegan,,,6/10/2021,5,,Cat,,
P_0111,Legacy and emergent POPs in the marine fauna of NE Greenland with special emphasis on the Greenland shark Somniosus microcephalus,2016,Rendiconti Lincei,"Corsolini, S. and Pozo, K. and Christiansen, J.S.",NA,Fish,NA,NA,NA,P_0111_Corsolini_2016,P_0111_Corsolini_2016_Suppl,NA,Fully,Maegan,,,6/10/2021,5,,Cat,,
P_0113,Thyroid endocrine status of wild European eels (Anguilla anguilla) in the Loire (France). Relationships with organic contaminant body burdens,2016,Science of the Total Environment,"Couderc, M. and Marchand, J. and Zalouk-Vergnoux, A. and Kamari, A. and Moreau, B. and Blanchet-Letrouvé, I. and Le Bizec, B. and Mouneyrac, C. and Poirier, L.",NA,Fish,NA,NA,NA,P_0113_Couderc_2016,P_0113_Couderc_2016_Suppl_1,P_0113_Couderc_2016_Suppl_2,Fully,Maegan,,,6/10/2021,6,,Cat,,
P_0114,"Occurrence of POPs and other persistent organic contaminants in the European eel (Anguilla anguilla) from the Loire estuary, France",2015,SCIENCE OF THE TOTAL ENVIRONMENT,"Couderc, M. and Poirier, L. and Zalouk-Vergnoux, A. and Kamari, A. and Blanchet-Letrouve, I. and March and , P. and Venisseau, A. and Veyr and , B. and Mouneyrac, C. and Le Bizec, B.",NA,Fish,NA,NA,NA,P_0114_Couderc_2015,P_0114_Couderc_2015_Suppl,NA,Fully,Maegan,,,6/10/2021,7,,Cat,,
P_0118,"Detection of a cyclic perfluorinated acid, perfluoroethylcyclohexane sulfonate, in the great lakes of North America",2011,Environmental Science and Technology,"De Silva, A.O. and Spencer, C. and Scott, B.F. and Backus, S. and Muir, D.C.G.",NA,Fish,NA,NA,NA,P_0118_DeSilva_2011,P_0118_DeSilva_2011,NA,Fully,Radiah,,,30/09/2021,15,,Cat,,
P_0119,Determination of ten perfluorinated compounds in bluegill sunfish (Lepomis macrochirus) fillets.,2009,Environmental research,"Delinsky, A.D. and Strynar, M.J. and Nakayama, S.F. and Varns, J.L. and Ye, X. and McCann, P.J. and Lindstrom, A.B.",NA,Fish,NA,NA,NA,P_0119_Delinsky_2009,NA,NA,Fully,Radiah,,,30/09/2021,10,,Cat,,
P_0129,Influence of the geographical origin on substance concentrations in herring as basis for dietary exposure assessments,2019,EFSA Journal,"Fechner, C. and Frantzen, S. and Lindtner, O. and Mathisen, G.H. and Lillegaard, I.T.L.",NA,Fish,NA,NA,NA,P_0129_Fechner_2019,NA,NA,Fully,Radiah,,,2/10/2021,10,,Cat,,
P_0130,Occurrence and spatial distribution of chemical contaminants in edible fish species collected from UK and proximate marine waters,2018,Environment International,"Fernandes, A.R. and Mortimer, D. and Holmes, M. and Rose, M. and Zhihua, L. and Huang, X. and Smith, F. and Panton, S. and Marshall, L.",NA,Fish,NA,NA,NA,P_0130_Fernandes_2019,NA,NA,Fully,Radiah,,,30/09/2021,15,,Cat,,
P_0132,Biota monitoring under the Water Framework Directive: On tissue choice and fish species selection,2018,ENVIRONMENTAL POLLUTION,"Fliedner, A and Rudel, H and Lohmann, N and Buchmeier, G and Koschorreck, J and Fliedner, Annette and Ruedel, Heinz and Lohmann, Nina and Buchmeier, Georgia and Koschorreck, Jan",NA,Fish,NA,NA,NA,P_0132_Fliedner_2018,P_0132_Fliedner_2018_Suppl,NA,Fully,Radiah,,,30/09/2021,8,,Cat,,
P_0136,Spatial distribution of perfluoroalkyl contaminants in lake trout from the Great Lakes,2007,Environmental Science and Technology,"Furdui, V.I. and Stock, N.L. and Ellis, D.A. and Butt, C.M. and Whittle, D.M. and Crozier, P.W. and Reiner, E.J. and Muir, D.C.G. and Mabury, S.A.",NA,Fish,NA,NA,NA,P_0136_Furdui_2007,P_0136_Furdui_2007_Suppl,NA,Fully,Radiah,,,30/09/2021,10,,Cat,,
P_0137,Temporal trends of perfluoroalkyl compounds with isomer analysis in lake trout from Lake Ontario (1979-2004),2008,ENVIRONMENTAL SCIENCE \& TECHNOLOGY,"Furdui, Vasile I. and Helm, Paul A. and Crozier, Patrick W. and Lucaciu, Corina and Reiner, Eric J. and Marvin, Chris H. and Whittle, D. Michael and Mabury, Scott A. and Tomy, Gregg T.",NA,Fish,NA,NA,NA,P_0137_Furdui_2008,P_0137_Furdui_2008_Suppl,NA,Fully,Radiah,,,1/10/2021,6,,Cat,,
P_0142,"Physical and biological factors affecting mercury and perfluorinated contaminants in arctic char (salvelinus alpinus) of pingualuit crater lake (Nunavik, Canada)",2012,Arctic,"Gantner, N. and Veillette, J. and Michaud, W.K. and Bajno, R. and Muir, D. and Vincent, W.F. and Power, M. and Dixon, B. and Reist, J.D. and Usmann, S.H. and Pienitz, R.",NA,Fish,NA,NA,NA,P_0142_Gantner_2012,NA,NA,Fully,Radiah,,,1/10/2021,20,,Cat,,
P_0143,"Visualized Metabolic Disorder and Its Chemical Inducer in Wild Crucian Carp from Taihu Lake, China",2020,ENVIRONMENTAL SCIENCE & TECHNOLOGY,"Gao, SX and Liu, H and Chang, H and Zhang, ZB and Hu, JY and Tao, S and Wan, Y and Gao, Shixiong and Liu, Hang and Chang, Hong and Zhang, Zhaobin and Hu, Jianying and Tao, Shu and Wan, Yi",NA,Fish,NA,NA,NA,P_0143_Gao_2020,P_0143_Gao_2020_Suppl,NA,Fully,Radiah,,,1/10/2021,15,,Cat,,
P_0144,Simultaneous determination of 21 trace perfluoroalkyl substances in fish by isotope dilution ultrahigh performance liquid chromatography tandem mass spectrometry,2018,Journal of Chromatography B: Analytical Technologies in the Biomedical and Life Sciences,"Gao, Y. and Li, X. and Li, X. and Zhang, Q. and Li, H.",NA,Fish,NA,NA,"Origin of fish samples unclear, bought at market --> Excluded",P_0144_Gao_2018,P_0144_Gao_2018_Suppl,NA,Fully,Radiah,,,1/10/2021,8,,,,
P_0145,Simultaneous determination of legacy and emerging per- and polyfluoroalkyl substances in fish by QuEChERS coupled with ultrahigh performance liquid chromatography tandem mass spectrometry,2018,Analytical Methods,"Gao, Y. and Zhang, Q. and Li, X. and Li, X. and Li, H.",NA,Fish,NA,NA,"Origin of fish samples unclear, bought at market --> Excluded",,,,N,,,,,,,,,
P_0150,Perfluoroalkyl contaminants in Lake Ontario Lake Trout: Detailed examination of current status and long-term trends,2012,Environmental Science and Technology,"Gewurtz, S.B. and De Silva, A.O. and Backus, S.M. and McGoldrick, D.J. and Keir, M.J. and Small, J. and Melymuk, L. and Muir, D.C.G.",NA,Fish,NA,NA,NA,P_0150_Gewurtz_2012,P_0150_Gewurtz_2012_Suppl,NA,Fully,Maegan,,,17/10/2021,15,,Cat,21/10/2021,
P_0151,Occurrence of perfluorooctanesulfonate and perfluorooctanoic acid and histopathology in eels from north Italian waters,2015,Chemosphere,"Giari, L. and Guerranti, C. and Perra, G. and Lanzoni, M. and Fano, E.A. and Castaldelli, G.",NA,Fish,NA,NA,NA,P_0151_Giari_2015,P_0151_Giari_2015_Suppl,NA,Fully,Maegan,,,19/10/2021,10,,Cat,21/10/2021,
P_0163,"Determination of polyfluoroalkyl phosphoric acid diesters, perfluoroalkyl phosphonic acids, perfluoroalkyl phosphinic acids, perfluoroalkyl carboxylic acids, and perfluoroalkane sulfonic acids in lake trout from the Great Lakes region",2012,Analytical and Bioanalytical Chemistry,"Guo, R. and Reiner, E.J. and Bhavsar, S.P. and Helm, P.A. and Mabury, S.A. and Braekevelt, E. and Tittlemier, S.A.",NA,Fish,NA,NA,NA,P_0163_Guo_2012,NA,NA,Fully,Maegan,,,19/10/2021,10,,Cat,21/10/2021,
P_0165,Alternative Eluent Composition for LC-MS Analysis of Perfluoroalkyl Acids in Raw Fish Samples,2014,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,"Haljasorg, Toiv and Saame, Jaan and Kipper, Karin and Teearu, Anu and Herodes, Koit and Reinik, Mari and Leito, Ivo",NA,Fish,NA,NA,NA,P_0165_Haljasorg_2014,NA,NA,Fully,Maegan,,,19/10/2021,10,,Cat,21/10/2021,
P_0167,Cytological and biochemical biomarkers in adult female perch (Perca fluviatilis) in a chronically polluted gradient in the Stockholm recipient (Sweden),2014,Marine Pollution Bulletin,"Hansson, T. and Baršiene, J. and Tjärnlund, U. and Åkerman, G. and Linderoth, M. and Zebühr, Y. and Sternbeck, J. and Järnberg, U. and Balk, L.",NA,Fish,NA,NA,NA,P_0167_Hansson_2014,NA,NA,Fully,Maegan,,,19/10/2021,12,,Cat,21/10/2021,
P_0169,Skipjack tuna as a bioindicator of contamination by perfluorinated compounds in the oceans,2008,SCIENCE OF THE TOTAL ENVIRONMENT,"Hart, Kimberly and Kannan, Kurunthachalam and Tao, Lin and Takahashi, Shin and Tanabe, Shinsuke",NA,Fish,NA,NA,NA,P_0169_Hart_2008,NA,NA,Fully,Maegan,,,19/10/2021,10,,Cat,21/10/2021,
P_0172,Occurrence of brominated flame retardants and perfluoroalkyl substances in fish from the Czech aquatic ecosystem,2013,Science of the Total Environment,"Hloušková, V. and Lanková, D. and Kalachová, K. and Hrádková, P. and Poustka, J. and Hajšlová, J. and Pulkrabová, J.",NA,Fish,NA,NA,NA,P_0172_Hlouskova_2013,P_0172_Hlouskova_2013_Suppl,NA,Fully,Maegan,,,19/10/2021,10,,Cat,21/10/2021,
