Study_ID,title,year,journal,authors,Bird,Fish,Marine_Mammals,Other,Reason_for_Exclusion,Filename_article,Filename_suppl_files,Filename_suppl_files_2,Extracted_N_Partially_Fully,Assigned_to,Assigned_to_2,,Date_data_extraction,Extraction_time_in_min,Extraction_comments,Checked_name,Date_data_checked,Checking_comments
P_XXXX,Text,Year,Text,Names,NA / Bird,NA / Fish,NA / Marine Mammals,NA / Other,Text / NA (if included),Text,Text / NA (if suppl not present),Text / NA (if suppl not present),N (not extracted yet) / in Progress / Partially / Fully,Name,,,Date,Time in min,Text,Losia / Cat,Date,Text
P_0176,Bioaccumulation characteristics of perfluoroalkyl acids (PFAAs) in coastal organisms from the west coast of South Korea,2015,Chemosphere,"Hong, S. and Khim, J.S. and Wang, T. and Naile, J.E. and Park, J. and Kwon, B.-O. and Song, S.J. and Ryu, J. and Codling, G. and Jones, P.D. and Lu, Y. and Giesy, J.P.",NA,Fish,NA,Other,,P_0176_Hong_2015,P_0176_Hong_2015_Suppl,,Fully,Maegan,,,,,,Cat,11/18/2021,
P_0199,"Uptake of hydrophobic organic compounds, including organochlorine pesticides, polybrominated diphenyl ethers, and perfluoroalkyl acids in fish and blue crabs of the lower Passaic River, New Jersey, USA",2019,Environmental Toxicology and Chemistry,"Khairy, M.A. and Noonan, G.O. and Lohmann, R.",NA,Fish,NA,Other,,P_0199_Khairy_2019,P_0199_Khairy_2019_Suppl,,Fully,Maegan,,,,,,Cat,11/18/2021,
P_0216,Bioaccumulation of Fluorotelomer Sulfonates and Perfluoroalkyl Acids in Marine Organisms Living in Aqueous Film-Forming Foam Impacted Waters,2019,Environmental Science and Technology,"Langberg, H.A. and Breedveld, G.D. and Grønning, H.M. and Kvennås, M. and Jenssen, B.M. and Hale, S.E.",NA,Fish,NA,Other,,P_0216_Langberg_2019,P_0216_Langberg_2019_Suppl,,Fully,Maegan,,,,,,Cat,11/18/2021,
P_0222,Perfluorinated and polyfluorinated compounds in lake food webs from the Canadian High Arctic,2015,Environmental Science and Technology,"Lescord, G.L. and Kidd, K.A. and De Silva, A.O. and Williamson, M. and Spencer, C. and Wang, X. and Muir, D.C.G.",NA,Fish,NA,Other,,P_0222_Lescord_2015,P_0222_Lescord_2015_Suppl,,Fully,Maegan,,,,,,Cat,11/18/2021,
P_0226,"Determination of Perfluorocarboxylic Acids and Perfluorosulfonic Acids in Aquatic Products by Quick, Easy, Cheap, Effective, Rugged, and Safe Sample Preparation with Liquid Chromatography-Tandem Mass Spectrometry",2018,Food Analytical Methods,"Li, J. and Cui, Y. and Xie, S. and Wang, H. and Peng, D. and Huang, L. and Tao, Y. and Pan, Y. and Chen, D. and Yuan, Z.",NA,Fish,NA,Other,fish purchased from local supermarket - unclear where supermarket got it from,P_0226_Li_2018,NA,,N,Maegan,,,,,,,,
P_0227,"Residues, bioaccumulations and biomagnification of perfluoroalkyl acids (PFAAs) in aquatic animals from Lake Chaohu, China",2018,Environmental Pollution,"Liu, W. and He, W. and Wu, J. and Qin, N. and He, Q. and Xu, F.",NA,Fish,NA,Other,,P_0227_Liu_2018,P_0227_Liu_2018_Suppl,,Fully,Maegan,,,,,,Cat,11/18/2021,
P_0249,Distributions and bioconcentration characteristics of perfluorinated compounds in environmental samples collected from the west coast of Korea,2013,Chemosphere,"Naile, J.E. and Khim, J.S. and Hong, S. and Park, J. and Kwon, B.-O. and Ryu, J.S. and Hwang, J.H. and Jones, P.D. and Giesy, J.P.",NA,Fish,NA,Other,,P_0249_Naile_2013,P_0249_Naile_2013_Suppl,,Fully,Maegan,,,,,,Cat,11/18/2021,
P_0250,"Perfluorinated contaminants in sediments and aquatic organisms collected from shallow water and tidal flat areas of the Ariake Sea, Japan: Environmental fate of perfluorooctane sulfonate in aquatic ecosystems",2006,Environmental Science and Technology,"Nakata, H. and Kannan, K. and Nasu, T. and Cho, H.-S. and Sinclair, E. and Takemura, A.",NA,Fish,NA,Other,,P_0250_Nakata_2006,NA,,Fully,Maegan,,,,,,Cat,11/18/2021,
P_0272,Temporal trends of persistent organic pollutants in Arctic marine and freshwater biota,2019,Science of the Total Environment,"Riget, F. and Bignert, A. and Braune, B. and Dam, M. and Dietz, R. and Evans, M. and Green, N. and Gunnlaugsdóttir, H. and Hoydal, K.S. and Kucklick, J. and Letcher, R. and Muir, D. and Schuur, S. and Sonne, C. and Stern, G. and Tomy, G. and Vorkamp, K. and Wilson, S.",NA,Fish,NA,Other,,P_0272_Riget_2019,NA,,Fully,Maegan,,,,,,Cat,11/18/2021,
P_0290,"Perfluorinated compounds in river water, river sediment, market fish, and wildlife samples from Japan",2007,Bulletin of Environmental Contamination and Toxicology,"Senthilkumar, K. and Ohi, E. and Sajwan, K. and Takasuga, T. and Kannan, K.",NA,Fish,NA,Other,,P_0290_Senthilkumar_2007,NA,,Fully,Maegan,,,,,,Cat,11/18/2021,
P_0293,Investigation of the spatial variability of poly- and perfluoroalkyl substance trophic magnification in selected riverine ecosystems,2019,Science of the Total Environment,"Simmonet-Laprade, C. and Budzinski, H. and Babut, M. and Le Menach, K. and Munoz, G. and Lauzent, M. and Ferrari, B.J.D. and Labadie, P.",NA,Fish,NA,Other,,P_0293_Simmonet-Laprade_2019,P_0293_Simmonet-Laprade_2019_Suppl,,Fully,Maegan,,,,,,Cat,11/18/2021,
P_0294,Biomagnification of perfluoroalkyl acids (PFAAs) in the food web of an urban river: assessment of the trophic transfer of targeted and unknown precursors and implications,2019,Environmental Science: Processes and Impacts,"Simmonnet-Laprade, C. and Budzinski, H. and Maciejewski, K. and Le Menach, K. and Santos, R. and Alliot, F. and Goutte, A. and Labadie, P.",NA,Fish,NA,Other,,P_0294_Simmonet-Laprade_2019,P_0294_Simmonet-Laprade_2019_Suppl,,Fully,Maegan,,,,,,Cat,11/18/2021,
P_0309,First reports of per- and poly-fluoroalkyl substances (PFASs) in Australian native and introduced freshwater fish and crustaceans,2018,Marine and Freshwater Research,"Taylor, M.D.",NA,Fish,NA,Other,,P_0309_Taylor_2018,NA,,Fully,Maegan,,,,,,Cat,11/18/2021,
P_0321,"Persistent organic pollutants in the Olifants River Basin, South Africa: Bioaccumulation and trophic transfer through a subtropical aquatic food web",2017,SCIENCE OF THE TOTAL ENVIRONMENT,"Verhaert, V and Newmark, N and D'Hollander, W and Covaci, A and Vlok, W and Wepener, V and Addo-Bediako, A and Jooste, A and Teuchies, J and Blust, R and Bervoets, L and Verhaert, Vera and Newmark, Nadine and D'Hollander, Wendy and Covaci, Adrian and Vlok, Wynand and Wepener, Victor and Addo-Bediako, Abraham and Jooste, Antoinette and Teuchies, Johannes and Blust, Ronny and Bervoets, Lieven",NA,Fish,NA,Other,,P_0321_Verhaert_2017,P_0321_Verhaert_2017_Suppl,,Fully,Maegan,,,,,,Cat,11/18/2021,
P_0327,Contamination Characteristics and Safety Risk Assessment of Perflurorinated Alkylated Substances in Aquatic Products from Guangzhou,2019,Huanjing Kexue/Environmental Science,"Wang, X.-F. and Wang, Q. and Li, Z.-G. and Huang, K. and Li, L.-D. and Zhao, D.-H.",NA,Fish,NA,Other,,P_0327_Wang_2019,,,N,Maegan,"Full text in chinese, Losia sent request to Yefeng to get paper and translate",,,,,,,
P_0333,Freshwater amphipods (Gammarus pulex/fossarum) and brown trout as bioindicators for PFC contamination with regard to the aquatic ecological status of a small stream,2020,ENVIRONMENTAL SCIENCES EUROPE,"Windisch, U and Springer, F and Stahl, T and Windisch, Ute and Springer, Fabian and Stahl, Thorsten",NA,Fish,NA,Other,,P_0333_Windisch_2020,NA,,Fully,Maegan,,,,,,Cat,11/18/2021,
P_0335,Perfluorinated compounds in seafood from coastal areas in China,2012,Environment International,"Wu, Y. and Wang, Y. and Li, J. and Zhao, Y. and Guo, F. and Liu, J. and Cai, Z.",NA,Fish,NA,Other,,P_0335_Wu_2012,P_0335_Wu_2012_Suppl,,Fully,Maegan,,,,,,Cat,11/18/2021,
P_0338,Determination of perfluorochemicals in fish and shellfish using liquid chromatography-tandem mass spectrometry,2013,Journal of Agricultural and Food Chemistry,"Young, W.M. and South, P. and Begley, T.H. and Noonan, G.O.",NA,Fish,NA,Other,"Excluded: fish purchased at supermarkets, unclear were they were caught",P_0338_Young_2013,P_0338_Young_2013_Suppl,,Fully,Maegan,,,,,,,,
P_0340,Simultaneous determination of perfluorinated compounds and their potential precursors in mussel tissue and fish muscle tissue and liver samples by liquid chromatography-electrospray-tandem mass spectrometry,2015,Journal of Chromatography A,"Zabaleta, I. and Bizkarguenaga, E. and Prieto, A. and Ortiz-Zarragoitia, M. and Fernández, L.A. and Zuloaga, O.",NA,Fish,NA,Other,,P_0340_Zabaleta_2015,NA,,Fully,Maegan,,,,,,Cat,11/18/2021,
P_0341,Occurrence of perfluoroalkyl substances (PFASs) in a large number of wild and farmed aquatic animals collected in the Netherlands,2019,Chemosphere,"Zafeiraki, E. and Gebbink, W.A. and Hoogenboom, R.L.A.P. and Kotterman, M. and Kwadijk, C. and Dassenakis, E. and van Leeuwen, S.P.J.",NA,Fish,NA,Other,,P_0341_Zafeiraki_2019,P_0341_Zafeiraki_2019_Suppl,,Fully,Maegan,,,,,,Cat,11/18/2021,
P_0347,"Perfluorinated compounds in surface water and organisms from Baiyangdian Lake in North China: Source profiles, bioaccumulation and potential risk",2012,Bulletin of Environmental Contamination and Toxicology,"Zhou, Z. and Shi, Y. and Li, W. and Xu, L. and Cai, Y.",NA,Fish,NA,Other,,P_0347_Zhou_2012,P_0347_Zhou_2012_Suppl,,Fully,Maegan,,,,,,Cat,11/18/2021,
P_0283,"Perfluorinated contaminants in fur seal pups and penguin eggs from South Shetland, Antarctica",2009,Science of the Total Environment,"Schiavone, A. and Corsolini, S. and Kannan, K. and Tao, L. and Trivelpiece, W. and Torres Jr., D. and Focardi, S.",Bird,NA,Marine Mammals,NA,,P_0283_Schiavone_2009,NA,,Fully,Lorenzo,,,9/12/2021,25,,Cat,15/12/2021,
P_0075,Perfluorinated compounds in the Antarctic region: Ocean circulation provides prolonged protection from distant sources,2010,Environmental Pollution,"Bengtson Nash, S. and Rintoul, S.R. and Kawaguchi, S. and Staniland, I. and Hoff, J.V.D. and Tierney, M. and Bossi, R.",Bird,NA,Marine Mammals,Other,,P_0075_Nash_2010,NA,,Fully,Lorenzo,,,13/12/2021,30,,Cat,15/12/2021,
P_0072,Accumulation and exposure assessment of persistent chlorinated and fluorinated contaminants in Korean birds,2018,Science of the Total Environment,"Barghi, M. and Jin, X. and Lee, S. and Jeong, Y. and Yu, J.-P. and Paek, W.-K. and Moon, H.-B.",Bird,NA,NA,NA,,P_0072_Barghi_2018,P_0072_Barghi_2018_Suppl,,Fully,Lorenzo,,,13/12/2021,25,,Cat,15/12/2021,
P_0078,Accumulation and maternal transfer of perfluorooctane sulphonic acid in yellow-legged (Larus michahellis) and Audouin's gull (Larus audouinii) from the Ebro Delta Natural Park,2015,ENVIRONMENTAL RESEARCH,"Bertolero, Albert and Vicente, Joana and Meyer, Johan and Lacorte, Silvia",Bird,NA,NA,NA,,P_0078_Bertolero_2015,P_0078_Bertolero_2015_Suppl,,Fully,Lorenzo,,,13/12/2021,25,,Cat,15/12/2021,
P_0079,Perfluorinated substances and telomeres in an Arctic seabird: Cross-sectional and longitudinal approaches,2017,Environmental Pollution,"Blevin, P. and Angelier, F. and Tartu, S. and Bustamante, P. and Herzke, D. and Moe, B. and Bech, C. and Gabrielsen, G.W. and Bustnes, J.O. and Chastel, O.",Bird,NA,NA,NA,,P_0079_Blevin_2017,NA,,Fully,Lorenzo,,,13/12/2021,15,,Cat,15/12/2021,
P_0080,"Organochlorines, perfluoroalkyl substances, mercury, and egg incubation temperature in an Arctic seabird: Insights from data loggers",2018,Environmental Toxicology and Chemistry,"Blevin, P. and Shaffer, S.A. and Bustamante, P. and Angelier, F. and Picard, B. and Herzke, D. and Moe, B. and Gabrielsen, G.W. and Bustnes, J.O. and Chastel, O.",Bird,NA,NA,NA,,P_0080_Blevin_2018,NA,,Fully,Lorenzo,,,13/12/2021,15,,Cat,15/12/2021,
P_0088,"Chlorinated, brominated and fluorinated organic pollutants in African Penguin eggs: 30 years since the previous assessment",2015,Chemosphere,"Bouwman, H. and Govender, D. and Underhill, L. and Polder, A.",Bird,NA,NA,NA,,P_0088_Bouwman_2015,NA,,Fully,Lorenzo,,,13/12/2021,20,,Cat,15/12/2021,
P_0090,Organohalogen contaminants and total mercury in forage fish preyed upon by thick-billed murres in northern Hudson Bay,2014,Marine Pollution Bulletin,"Braune, B.M. and Gaston, A.J. and Elliott, K.H. and Provencher, J.F. and Woo, K.J. and Chambellant, M. and Ferguson, S.H. and Letcher, R.J.",NA,Fish,NA,NA,,P_0090_Braune_2014,P_0090_Braune_2014_Suppl,,Fully,Lorenzo,,,13/12/2021,20,,Cat,15/12/2021,
P_0091,"A geographical comparison of chlorinated, brominated and fluorinated compounds in seabirds breeding in the eastern Canadian Arctic",2014,Environmental Research,"Braune, B.M. and Gaston, A.J. and Letcher, R.J. and Grant Gilchrist, H. and Mallory, M.L. and Provencher, J.F.",Bird,NA,NA,NA,,P_0091_Braune_2014,P_0091_Braune_2014_Suppl,,Fully,Lorenzo,,,14/12/2021,10,,Cat,15/12/2021,
P_0092,Perfluorinated sulfonate and carboxylate compounds in eggs of seabirds breeding in the Canadian Arctic: Temporal trends (1975-2011) and interspecies comparison,2013,Environmental Science and Technology,"Braune, B.M. and Letcher, R.J.",Bird,NA,NA,NA,,P_0092_Braune_2013,P_0092_Braune_2013_Suppl,,Fully,Lorenzo,,,14/12/2021,10,,Cat,15/12/2021,
P_0093,Persistent halogenated organic contaminants and mercury in northern fulmars (Fulmarus glacialis) from the Canadian Arctic,2010,Environmental Pollution,"Braune, B.M. and Mallory, M.L. and Butt, C.M. and Mabury, S.A. and Muir, D.C.G.",Bird,NA,NA,NA,,P_0093_Braune_2010,NA,,Fully,Lorenzo,,,14/12/2021,10,,Cat,15/12/2021,
P_0095,Perfluorinated and chlorinated pollutants as predictors of demographic parameters in an endangered seabird,2008,Environmental Pollution,"Bustnes, J.O. and Erikstad, K.E. and Lorentsen, S.-H. and Herzke, D.",Bird,NA,NA,NA,,P_0095_Bustnes_2008,NA,,Fully,Lorenzo,,,14/12/2021,15,,Cat,16/12/2021,
P_0096,Salmon farms as a source of organohalogenated contaminants in wild fish,2010,Environmental Science and Technology,"Bustnes, J.O. and Lie, E. and Herzke, D. and Dempster, T. and Bjørn, P.A. and Nygård, T. and Uglem, I.",Bird,NA,NA,NA,,P_0096_Bustnes_2010,P_0096_Bustnes_2010_Suppl,,Fully,Lorenzo,,,14/12/2021,15,,Cat,16/12/2021,
P_0098,Prevalence of long-chained perfluorinated carboxylates in seabirds from the Canadian arctic between 1975 and 2004,2007,Environmental Science and Technology,"Butt, C.M. and Mabury, S.A. and Muir, D.C.G. and Braune, B.M.",Bird,NA,NA,NA,,P_0098_Butt_2007,P_0098_Butt_2007_Suppl,,Fully,Lorenzo,,,14/12/2021,10,,Cat,16/12/2021,
P_0100,Interactions between Environmental Contaminants and Gastrointestinal Parasites: Novel Insights from an Integrative Approach in a Marine Predator,2020,Environmental Science and Technology,"Carravieri, A. and Burthe, S.J. and De La Vega, C. and Yonehara, Y. and Daunt, F. and Newell, M.A. and Jeffreys, R.M. and Lawlor, A.J. and Hunt, A. and Shore, R.F. and Pereira, M.G. and Green, J.A.",Bird,NA,NA,NA,,P_0100_Carravieri_2020,P_0100_Carravieri_2020_Suppl,,Fully,Lorenzo,,,14/12/2021,10,,Cat,16/12/2021,
P_0112,Higher plasma oxidative damage and lower plasma antioxidant defences in an Arctic seabird exposed to longer perfluoroalkyl acids,2019,Environmental Research,"Costantini, D. and Blévin, P. and Herzke, D. and Moe, B. and Gabrielsen, G.W. and Bustnes, J.O. and Chastel, O.",Bird,NA,NA,NA,,P_0112_Costantini_2019,NA,,Fully,Lorenzo,,,14/12/2021,10,,Cat,16/12/2021,
P_0115,"Exposure and effects of perfluoroalkyl compounds on tree swallows nesting at Lake Johanna in east central Minnesota, USA",2012,Reproductive Toxicology,"Custer, C.M. and Custer, T.W. and Schoenfuss, H.L. and Poganski, B.H. and Solem, L.",Bird,NA,NA,NA,,P_0115_Custer_2012,NA,,Fully,Lorenzo,,,14/12/2021,10,,Cat,16/12/2021,
P_0116,"Perfluorinated compound concentrations in great blue heron eggs near st. paul, minnesota, usa, in 1993 and 2010-2011",2013,Environmental Toxicology and Chemistry,"Custer, T.W. and Dummer, P.M. and Custer, C.M. and Wu, Q. and Kannan, K. and Trowbridge, A.",Bird,NA,NA,NA,,P_0116_Custer_2013,NA,,Fully,Lorenzo,,,14/12/2021,10,,Cat,16/12/2021,
P_0117,"Perfluorinated compounds and polybrominated diphenyl ethers in great blue heron eggs from Indiana Dunes National Lakeshore, Indiana",2009,Journal of Great Lakes Research,"Custer, T.W. and Kannan, K. and Tao, L. and Saxena, A.R. and Route, B.",Bird,NA,NA,NA,,P_0117_Custer_2009,NA,,Fully,Lorenzo,,,19/12/2021,15,,Cat,22/12/2021,
P_0003,"Perfluorinated Compounds and Polybrominated Diphenyl Ethers in Great Blue Heron Eggs from Three Colonies on the Mississippi River, Minnesota",2010,Waterbirds,"Custer, T.W. and Kannan, K. and Tao, L. and Yun, S.H. and Trowbridge, A.",Bird,NA,NA,NA,,P_0003_Custer_2010,NA,,Fully,Lorenzo,,,19/12/2021,10,,Cat,22/12/2021,
P_0059,The toxic exposure of flamingos to per- and Polyfluoroalkyl substances (PFAS) from firefighting foam applications in Bonaire,2017,Marine Pollution Bulletin,"de Vries, P. and Slijkerman, D.M.E. and Kwadijk, C.J.A.F. and Kotterman, M.J.J. and Posthuma, L. and de Zwart, D. and Murk, A.J. and Foekema, E.M.",NA,Fish,NA,Other,,P_0059_deVries_2017,P_0059_deVries_2017_Suppl,,Fully,Lorenzo,,,19/12/2021,15,,Cat,22/12/2021,
P_0123,"Exposure to persistent organic pollutants is linked to over-wintering latitude in a Pacific seabird, the rhinoceros auklet, Cerorhinca monocerata",2021,Environmental Pollution,"Elliott, J.E. and Drever, M.C. and Studholme, K.R. and Silverthorn, V. and Miller, A.A. and Elliott, K.H. and Lee, S.L. and Drouillard, K.G. and Porter, E. and Idrissi, A.M. and Crossin, G.T. and Hipfner, J.M.",Bird,NA,NA,NA,,P_0123_Elliott_2021,P_0123_Elliott_2021_Suppl,,Fully,Lorenzo,,,20/12/2021,20,,Cat,22/12/2021,
P_0124,"Comparison of PFASs contamination in the freshwater and terrestrial environments by analysis of eggs from osprey (Pandion haliaetus), tawny owl (Strix aluco), and common kestrel (Falco tinnunculus)",2016,Environmental Research,"Eriksson, U. and Roos, A. and Lind, Y. and Hope, K. and Ekblad, A. and Kärrman, A.",Bird,NA,NA,NA,,P_0124_Eriksson_2016,P_0124_Eriksson_2016_Suppl,,Fully,Lorenzo,,,20/12/2021,20,,Cat,22/12/2021,
P_0125,Occurrence of Per- and Polyfluoroalkyl substances in Calonectris shearwaters breeding along the Mediterranean and Atlantic colonies,2018,Marine Pollution Bulletin,"Escoruela, J. and Garreta, E. and Ramos, R. and González-Solís, J. and Lacorte, S.",Bird,NA,NA,NA,,P_0125_Escoruela_2018,P_0125_Escoruela_2018_Suppl,,Fully,Lorenzo,,,20/12/2021,15,,Cat,22/12/2021,
P_0133,"Levels and trends of industrial chemicals (PCBs, PFCs, PBDEs) in archived herring gull eggs from German coastal regions",2012,Environmental Sciences Europe,"Fliedner, A. and Rüdel, H. and Jürling, H. and Müller, J. and Neugebauer, F. and Schröter-Kermani, C.",Bird,NA,NA,NA,,P_0133_Fliedner_2012,P_0133_Fliedner_2012_Suppl,,Fully,Lorenzo,,,20/12/2021,10,,Cat,22/12/2021,
P_0147,Perfluorinated carboxylates and sulfonates and precursor compounds in herring gull eggs from colonies spanning the Laurentian Great Lakes of North America,2009,Environmental Science and Technology,"Gebbink, W.A. and Hebert, C.E. and Letcher, R.J.",Bird,NA,NA,NA,,P_0147_Gebbink_2009,P_0147_Gebbink_2009_Suppl,,Fully,Lorenzo,,,20/12/2021,10,,Cat,22/12/2021,
P_0148,Comparative tissue and body compartment accumulation and maternal transfer to eggs of perfluoroalkyl sulfonates and carboxylates in Great Lakes herring gulls,2012,Environmental Pollution,"Gebbink, W.A. and Letcher, R.J.",Bird,NA,NA,NA,,P_0148_Gebbink_2012,P_0148_Gebbink_2012_Suppl,,Fully,Lorenzo,,,20/12/2021,10,,Cat,22/12/2021,
P_0149,Perfluoroalkyl carboxylates and sulfonates and precursors in relation to dietary source tracers in the eggs of four species of gulls (Larids) from breeding sites spanning Atlantic to Pacific Canada,2011,Environment International,"Gebbink, W.A. and Letcher, R.J. and Burgess, N.M. and Champoux, L. and Elliott, J.E. and Hebert, C.E. and Martin, P. and Wayland, M. and Weseloh, D.V.C. and Wilson, L.",Bird,NA,NA,NA,,P_0149_Gebbink_2011,P_0149_Gebbink_2011_Suppl,,Fully,Lorenzo,,,20/12/2021,10,,Cat,22/12/2021,
P_0055,Spatio-temporal trends and monitoring design of perfluoroalkyl acids in the eggs of gull (Larid) species from across Canada and parts of the United States,2016,Science of the Total Environment,"Gewurtz, S.B. and Martin, P.A. and Letcher, R.J. and Burgess, N.M. and Champoux, L. and Elliott, J.E. and Weseloh, D.V.C.",Bird,NA,NA,NA,,P_0055_Gewurtz_2016,P_0055_Gewurtz_2016_Suppl,,Fully,Lorenzo,,,21/12/2021,15,,Cat,22/12/2021,
P_0152,Monitoring of raptors and their contamination levels in Norway,2008,AMBIO,"Gjershaug, Jan Ove and Kalas, John Atle and Nygard, Torgeir and Herzke, Dorte and Folkestad, Alv Ottar",Bird,NA,NA,NA,Summary of other studies --> Exclude,P_0152_Gjershaug_2008,I could not download them,,Partially,Lorenzo,,,21/12/2021,,,,,
P_0029,"Are Feathers of a Songbird Model Species (The Great Tit, Parus major) Suitable for Monitoring Perfluoroalkyl Acids (PFAAs) in Blood Plasma?",2020,Environmental Science and Technology,"Groffen, T. and Lasters, R. and Bervoets, L. and Prinsen, E. and Eens, M.",Bird,NA,NA,NA,,P_0029_Groffen_2020,P_0029_Groffen_2020_Suppl,,Fully,Lorenzo,,,21/12/2021,15,,Cat,22/12/2021,
P_0158,Limited reproductive impairment in a passerine bird species exposed along a perfluoroalkyl acid (PFAA) pollution gradient,2019,Science of the Total Environment,"Groffen, T. and Lasters, R. and Lopez-Antia, A. and Prinsen, E. and Bervoets, L. and Eens, M.",Bird,NA,NA,NA,,P_0158_Groffen_2019,P_0158_Groffen_2019_Suppl,,Fully,Lorenzo,,,21/12/2021,15,,Cat,22/12/2021,
P_0159,"Perfluoroalkylated acids in the eggs of great tits (Parus major) near a fluorochemical plant in Flanders, Belgium",2017,Environmental Pollution,"Groffen, T. and Lopez-Antia, A. and D'Hollander, W. and Prinsen, E. and Eens, M. and Bervoets, L.",Bird,NA,NA,NA,,P_0159_Groffen_2017,P_0159_Groffen_2017_Suppl,,Fully,Lorenzo,,,21/12/2021,10,,Cat,22/12/2021,
P_0164,Fluorinated alkyl compounds including long chain carboxylic acids in wild bird livers from Japan,2011,Chemosphere,"Guruge, K.S. and Yeung, L.W.Y. and Li, P. and Taniyasu, S. and Yamashita, N. and Nakamura, M.",Bird,NA,NA,NA,,P_0164_Guruge_2011,P_0164_Guruge_2011_Suppl,,Fully,Lorenzo,,,21/12/2021,15,,Cat,22/12/2021,
P_0022,A novel use of the leukocyte coping capacity assay to assess the immunomodulatory effects of organohalogenated contaminants in avian wildlife,2020,Environment International,"Hansen, E. and Huber, N. and Bustnes, J.O. and Herzke, D. and Bårdsen, B.-J. and Eulaers, I. and Johnsen, T.V. and Bourgeon, S.",Bird,NA,NA,NA,,P_0022_Hansen_2020,P_0022_Hansen_2020_Suppl,,Fully,Lorenzo,,,21/12/2021,20,,Cat,22/12/2021,
P_0356,Perfluorinated and other persistent halogenated organic compounds in European shag (Phalacrocorax aristotelis) and common eider (Somateria mollissima) from Norway: A suburban to remote pollutant gradient,2009,Science of the Total Environment,"Herzke, D. and Nygård, T. and Berger, U. and Huber, S. and Røv, N.",Bird,NA,NA,NA,,P_0004_Herzke_2009,NA,,Fully,Lorenzo,,,21/12/2021,25,,Cat,22/12/2021,
P_0171,Potential Effect of Migration Strtegy on Pollutant Occurrence in Eggs of Arctic Breeding Barnacle Geese (Branta leucopsis),2019,Environmental Science and Technology,"Hitchcock, D.J. and Andersen, T. and Varpe, Ø. and Loonen, M.J.J.E. and Warner, N.A. and Herzke, D. and Tombre, I.M. and Griffin, L.R. and Shimmings, P. and Borgå, K.",Bird,NA,NA,NA,,P_0171_Hitchcock_2019,P_0171_Hitchcock_2019_Suppl,,Fully,Lorenzo,,,21/12/2021,25,,Cat,22/12/2021,
P_0016,Evaluation of biochemical effects related to perfluorooctane sulfonic acid exposure in organohalogen-contaminated great tit (Parus major) and blue tit (Parus caeruleus) nestlings,2005,Chemosphere,"Hoff, P.T. and Van De Vijver, K. and Dauwe, T. and Covaci, A. and Maervoet, J. and Eens, M. and Blust, R. and De Coen, W.",Bird,NA,NA,NA,,P_0016_Hoff_2005,NA,,Fully,Lorenzo,,,21/12/2021,20,,Cat,22/12/2021,
P_0175,Tissue distribution of perfluorinated surfactants in common guillemot (Uria aalge) from the Baltic Sea,2008,Environmental Science and Technology,"Holmstroem, K.E. and Berger, U.",Bird,NA,NA,NA,,P_0175_Holmstroem_2008,P_0175_Holmstroem_2008_Suppl,,Fully,Lorenzo,,,23/12/2021,22,,Cat,5/12/2022,
P_0006,"Temporal trends of PFOS and PFOA in guillemot eggs from the Baltic Sea, 1968-2003",2005,Environmental Science and Technology,"Holmstroem, K.E. and Järnberg, U. and Bignert, A.",Bird,NA,NA,NA,,P_0006_Holmstroem_2005,NA,,Fully,Lorenzo,,,23/12/2021,9,,Cat,5/12/2022,
P_0184,A broad cocktail of environmental pollutants found in eggs of three seabird species from remote colonies in Norway,2015,Environmental Toxicology and Chemistry,"Huber, S. and Warner, N.A. and Nygård, T. and Remberger, M. and Harju, M. and Uggerud, H.T. and Kaj, L. and Hanssen, L.",Bird,NA,NA,NA,,P_0184_Huber_2015,P_0184_Huber_2015_Suppl,,Fully,Lorenzo,,,23/12/2021,19,,Cat,5/12/2022,
P_0189,Spatiotemporal Analysis of Perfluoroalkyl Substances in White-Tailed Eagle (Haliaeetus albicilla) Nestlings from Northern Norway-A Ten-Year Study,2020,Environmental science & technology,"Jouanneau, W. and Bårdsen, B.-J. and Herzke, D. and Johnsen, T.V. and Eulaers, I. and Bustnes, J.O.",Bird,NA,NA,NA,,P_0189_Jouanneau_2020,P_0189_Jouanneau_2020_Suppl,,Fully,Lorenzo,,,24/12/2021,9,,Cat,5/12/2022,
P_0193,Concentrations of perfluorinated acids in livers of birds from Japan and Korea,2002,Chemosphere,"Kannan, K. and Choi, J.-W. and Iseki, N. and Senthilkumar, K. and Kim, D.H. and Masunaga, S. and Giesy, J.P.",Bird,NA,NA,NA,,P_0193_Kannan_2002,NA,,Fully,Lorenzo,,,24/12/2021,19,,Cat,5/12/2022,
P_0195,Perfluorooctane sulfonate in fish-eating water birds including bald eagles and albatrosses,2001,Environmental Science and Technology,"Kannan, K. and Franson, J.C. and Bowerman, W.W. and Hansen, K.J. and Jones, P.D. and Giesy, J.P.",Bird,NA,NA,NA,,P_0195_Kannan_2001,NA,,Fully,Lorenzo,,,24/12/2021,13,,Cat,5/12/2022,
