Study_ID,Year,Bird,Fish,Marine_Mammals,Other
P_0080,2018,Bird,NA,NA,NA
P_0088,2015,Bird,NA,NA,NA
P_0090,2014,Bird,NA,NA,NA
P_0091,2014,Bird,NA,NA,NA
P_0092,2013,Bird,NA,NA,NA
P_0093,2010,Bird,NA,NA,NA
P_0095,2008,Bird,NA,NA,NA
P_0096,2010,Bird,NA,NA,NA
P_0098,2007,Bird,NA,NA,NA
P_0100,2020,Bird,NA,NA,NA
P_0112,2019,Bird,NA,NA,NA
P_0115,2012,Bird,NA,NA,NA
P_0116,2013,Bird,NA,NA,NA
P_0117,2009,Bird,NA,NA,NA
P_0003,2010,Bird,NA,NA,NA
P_0059,2017,Bird,NA,NA,NA
P_0123,2021,Bird,NA,NA,NA
P_0124,2016,Bird,NA,NA,NA
P_0125,2018,Bird,NA,NA,NA
P_0133,2012,Bird,NA,NA,NA
P_0147,2009,Bird,NA,NA,NA
P_0148,2012,Bird,NA,NA,NA
P_0149,2011,Bird,NA,NA,NA
P_0055,2016,Bird,NA,NA,NA
P_0152,2008,Bird,NA,NA,NA
P_0029,2020,Bird,NA,NA,NA
P_0158,2019,Bird,NA,NA,NA
P_0159,2017,Bird,NA,NA,NA
P_0164,2011,Bird,NA,NA,NA
P_0022,2020,Bird,NA,NA,NA
P_0356,2009,Bird,NA,NA,NA
P_0171,2019,Bird,NA,NA,NA
P_0016,2005,Bird,NA,NA,NA
P_0175,2008,Bird,NA,NA,NA
P_0006,2005,Bird,NA,NA,NA
P_0184,2015,Bird,NA,NA,NA
P_0189,2020,Bird,NA,NA,NA
P_0193,2002,Bird,NA,NA,NA
P_0195,2001,Bird,NA,NA,NA
P_0200,2021,Bird,NA,NA,NA
P_0209,2019,Bird,NA,NA,NA
P_0210,2019,Bird,NA,NA,NA
P_0211,2019,Bird,NA,NA,NA
P_0212,2008,Bird,NA,NA,NA
P_0042,2021,Bird,NA,NA,NA
P_0218,2019,Bird,NA,NA,NA
P_0219,2013,Bird,NA,NA,NA
P_0224,2015,Bird,NA,NA,NA
P_0048,2021,Bird,NA,NA,NA
P_0231,2017,Bird,NA,NA,NA
P_0232,2019,Bird,NA,NA,NA
P_0234,2017,Bird,NA,NA,NA
P_0235,2015,Bird,NA,NA,NA
P_0239,2017,Bird,NA,NA,NA
P_0241,2012,Bird,NA,NA,NA
P_0242,2020,Bird,NA,NA,NA
P_0051,2021,Bird,NA,NA,NA
P_0248,2012,Bird,NA,NA,NA
P_0251,2008,Bird,NA,NA,NA
P_0253,2013,Bird,NA,NA,NA
P_0262,2021,Bird,NA,NA,NA
P_0274,2020,Bird,NA,NA,NA
P_0276,2019,Bird,NA,NA,NA
P_0281,2011,Bird,NA,NA,NA
P_0287,2016,Bird,NA,NA,NA
P_0031,2020,Bird,NA,NA,NA
P_0296,2016,Bird,NA,NA,NA
P_0298,2012,Bird,NA,NA,NA
P_0301,2017,Bird,NA,NA,NA
P_0302,2019,Bird,NA,NA,NA
P_0043,2021,Bird,NA,NA,NA
P_0305,2021,Bird,NA,NA,NA
P_0307,2014,Bird,NA,NA,NA
P_0322,2005,Bird,NA,NA,NA
P_0323,2015,Bird,NA,NA,NA
P_0324,2019,Bird,NA,NA,NA
P_0328,2008,Bird,NA,NA,NA
P_0329,2019,Bird,NA,NA,NA
P_0334,2020,Bird,NA,NA,NA
P_0019,2008,Bird,NA,NA,NA
P_0107,2015,Bird,NA,NA,NA
P_0141,2005,Bird,NA,NA,Other
P_0157,2019,Bird,NA,NA,Other
P_0260,2015,NA,NA,Marine Mammals,NA
P_0269,2011,NA,NA,Marine Mammals,NA
P_0270,2016,NA,NA,Marine Mammals,NA
P_0050,2017,NA,NA,Marine Mammals,Other
P_0062,2008,NA,NA,Marine Mammals,NA
P_0065,2009,NA,NA,Marine Mammals,NA
P_0073,2021,NA,NA,Marine Mammals,NA
P_0076,2008,NA,NA,Marine Mammals,NA
P_0081,2019,NA,NA,Marine Mammals,NA
P_0082,2005,NA,NA,Marine Mammals,NA
P_0086,2017,NA,NA,Marine Mammals,NA
P_0120,2018,NA,NA,Marine Mammals,NA
P_0122,2008,NA,NA,Marine Mammals,NA
P_0126,2012,NA,NA,Marine Mammals,NA
P_0134,2018,NA,NA,Marine Mammals,NA
P_0135,2018,NA,NA,Marine Mammals,NA
P_0139,2013,NA,NA,Marine Mammals,NA
P_0140,2011,NA,NA,Marine Mammals,NA
P_0004,2016,NA,NA,Marine Mammals,NA
P_0153,2017,NA,NA,Marine Mammals,NA
P_0154,2013,NA,NA,Marine Mammals,NA
P_0155,2013,NA,NA,Marine Mammals,NA
P_0156,2012,NA,NA,Marine Mammals,NA
P_0161,2019,NA,NA,Marine Mammals,NA
P_0168,2008,NA,NA,Marine Mammals,NA
P_0180,2005,NA,NA,Marine Mammals,NA
P_0183,2012,NA,NA,Marine Mammals,NA
P_0186,2008,NA,NA,Marine Mammals,NA
P_0197,2006,NA,NA,Marine Mammals,NA
P_0009,2009,NA,NA,Marine Mammals,NA
P_0208,2019,NA,NA,Marine Mammals,NA
P_0214,2016,NA,NA,Marine Mammals,NA
P_0223,2018,NA,NA,Marine Mammals,NA
P_0053,2020,NA,NA,Marine Mammals,NA
P_0012,2010,NA,NA,Marine Mammals,NA
P_0243,2019,NA,NA,Marine Mammals,NA
P_0273,2013,NA,NA,Marine Mammals,NA
P_0277,2012,NA,NA,Marine Mammals,NA
P_0045,2016,NA,NA,Marine Mammals,NA
P_0278,2019,NA,NA,Marine Mammals,NA
P_0279,2014,NA,NA,Marine Mammals,NA
P_0280,2015,NA,NA,Marine Mammals,NA
P_0035,2020,NA,NA,Marine Mammals,NA
P_0288,2019,NA,NA,Marine Mammals,NA
P_0291,2009,NA,NA,Marine Mammals,NA
P_0299,2012,NA,NA,Marine Mammals,NA
P_0300,2020,NA,NA,Marine Mammals,NA
P_0306,2018,NA,NA,Marine Mammals,NA
P_0015,2017,NA,NA,Marine Mammals,NA
P_0311,2018,NA,NA,Marine Mammals,NA
P_0317,2003,NA,NA,Marine Mammals,NA
P_0319,2007,NA,NA,Marine Mammals,NA
P_0028,2020,NA,NA,Marine Mammals,NA
P_0033,2021,NA,NA,Marine Mammals,NA
P_0339,2017,NA,NA,Marine Mammals,NA
P_0034,2021,NA,NA,Marine Mammals,NA
P_0052,2021,NA,NA,NA,Other
P_0205,2015,NA,NA,NA,NA
P_0256,2009,NA,NA,NA,NA
P_0316,2005,NA,NA,NA,NA
P_0061,2014,NA,NA,NA,Other
P_0070,2017,NA,NA,NA,Other
P_0071,2019,NA,NA,NA,Other
P_0001,2017,NA,NA,NA,Other
P_0077,2014,NA,NA,NA,Other
P_0087,2014,NA,NA,NA,Other
P_0104,2020,NA,NA,NA,Other
P_0105,2016,NA,NA,NA,Other
P_0109,2021,NA,NA,NA,Other
P_0121,2014,NA,NA,NA,Other
P_0047,2020,NA,NA,NA,Other
P_0025,2021,NA,NA,NA,Other
P_0160,2013,NA,NA,NA,Other
P_0185,2018,NA,NA,NA,Other
P_0191,2002,NA,NA,NA,Other
P_0196,2002,NA,NA,NA,Other
P_0008,2010,NA,NA,NA,Other
P_0030,2020,NA,NA,NA,Other
P_0202,2019,NA,NA,NA,Other
P_0203,2021,NA,NA,NA,Other
P_0220,2020,NA,NA,NA,Other
P_0010,2017,NA,NA,NA,Other
